State,Year,Quarter,Transaction_Count,Transaction_Amount,User_Count,Avg_Transaction_Value,Transactions_Per_User,Transaction_Growth,User_Growth,ZScore_Transaction,Transaction_Count_Scaled,Transaction_Amount_Scaled,User_Count_Scaled,Avg_Transaction_Value_Scaled,Transactions_Per_User_Scaled,Transaction_Growth_Scaled,User_Growth_Scaled
Andaman & Nicobar Islands,2018,1,6658,14631761.22198579,6740.0,2197.6210907157993,0.9878338278931751,0.0,0.0,-0.4875552981232877,-0.45400225981821374,-0.4877973211206324,-0.5048897410326018,0.5821706352212107,-0.57645943470806,-0.8658126563338469,-0.22746072650092677
Andaman & Nicobar Islands,2018,2,11340,28338535.507953543,9405.0,2498.989021865392,1.2057416267942584,0.9367822559441343,0.3954005934718101,-0.48753580137716945,-0.4539931529395788,-0.48777781469630754,-0.5044970139071441,1.0992782967831962,-0.5356898367047136,2.677098069704102,1.5066797906003708
Andaman & Nicobar Islands,2018,3,16265,55557471.13431111,12149.0,3415.7682836957338,1.3387933163223311,0.9604919639802223,0.2917597022860181,-0.4874970847056576,-0.4539835734057734,-0.4877390788057965,-0.5040926449644589,2.672350715090012,-0.5107964463667756,2.7667681914205127,1.0521335112038979
Andaman & Nicobar Islands,2018,4,23758,90548336.07445519,15222.0,3811.277720113443,1.5607673104716857,0.6298138526779429,0.2529426290229648,-0.48744731311126477,-0.45396899889880815,-0.4876892825047283,-0.5036397930107887,3.3509927955910745,-0.46926608098148503,1.516143491854594,0.8818903183201994
Andaman & Nicobar Islands,2019,1,30486,102299740.67348987,18596.0,3355.6301473951935,1.6393848139384815,0.12978045879685585,0.22165287084482976,-0.4874305977158538,-0.4539559123803426,-0.4876725588117763,-0.503142584259834,2.5691615970095216,-0.4545570892495144,-0.37498292873818756,0.744660282951337
Andaman & Nicobar Islands,2019,2,33689,120254709.67566319,21731.0,3569.554147515901,1.5502738024020983,0.17551333839134742,0.16858464185846422,-0.4874050582661705,-0.45394968227947385,-0.48764700668428146,-0.5026805956901118,2.9362269945534125,-0.47122937053697345,-0.20202116668535372,0.511914638216671
Andaman & Nicobar Islands,2019,3,33770,114071776.08729394,23931.0,3377.902756508556,1.4111403618737204,-0.051415313421363074,0.10123786296074733,-0.487413852974825,-0.45394952472775035,-0.48765580575863926,-0.5023563931850435,2.6073784596052243,-0.49726062994012776,-1.0602653845396781,0.21654639671422132
Andaman & Nicobar Islands,2019,4,35159,136838530.51737788,25960.0,3891.9915389339253,1.3543528505392912,0.19958271196427746,0.08478542476285988,-0.48738146916067593,-0.45394682300745476,-0.4876234058691285,-0.5020573900565056,3.4894870738202988,-0.5078853254323994,-0.11099078981874314,0.14438960141569387
Andaman & Nicobar Islands,2020,1,41298,161476312.29727465,28368.0,3910.027417726637,1.4557952622673436,0.1800500318641458,0.09275808936825891,-0.48734642396577754,-0.4539348821428799,-0.487588343277756,-0.5017025356782309,3.520434265418084,-0.48890589299583914,-0.18486339083772674,0.17935596451617714
Andaman & Nicobar Islands,2020,2,62962,169645001.41414705,32710.0,2694.4029956822696,1.9248547844695811,0.05058753820086004,0.1530597856739988,-0.48733480468508417,-0.4538927438646342,-0.48757671822923865,-0.5010626778250462,1.4345829280739812,-0.40114690384415747,-0.6744905742187798,0.4438260147392468
Andaman & Nicobar Islands,2020,3,117483,338019446.3303604,41335.0,2877.1775178567145,2.8422160396758196,0.9925104984683166,0.2636808315499848,-0.4870953060447153,-0.45378669599405463,-0.48733710070147584,-0.4997916566404037,1.748199925722685,-0.22951261729170055,2.887862296854391,0.9289857258395421
Andaman & Nicobar Islands,2020,4,224531,627282656.3148525,52396.0,2793.746325963241,4.285269867928849,0.8557590787299945,0.2675940486270716,-0.48668385319309954,-0.4535784787484098,-0.4869254436042026,-0.4981616548637856,1.6050429933417536,0.04047645502127641,2.370668393236395,0.9461482400027201
Andaman & Nicobar Islands,2021,1,244752,783706567.3897556,57758.0,3202.043568141448,4.23754285120676,0.24936750522301887,0.1023360561874953,-0.48646135319292283,-0.453539147224942,-0.486702833154776,-0.4973714849400693,2.305627263604332,0.03154693852176891,0.07729531072466368,0.22136283199922716
Andaman & Nicobar Islands,2021,2,341414,899147016.1122961,62095.0,2633.597380635522,5.498252677349223,0.14730060143177193,0.07508916513729691,-0.48629714875841756,-0.4533511316113993,-0.48653854720900513,-0.49673236391075976,1.330248504412114,0.2674202439743602,-0.3087217449154864,0.10186392755824933
Andaman & Nicobar Islands,2021,3,449764,1310024395.8016036,66982.0,2912.6928695973966,6.714699471499806,0.45696351355960263,0.07870198888799429,-0.48571270986780773,-0.45314038186768046,-0.4859538182022739,-0.4960121922551832,1.8091395898008094,0.4950121293501171,0.8624234661219706,0.11770898229683528
Andaman & Nicobar Islands,2021,4,636123,1932610101.3236573,71780.0,3038.1075693280345,8.862120367790471,0.47524741334385134,0.07163118449732764,-0.48482713349628775,-0.4527778981437331,-0.4850678022296489,-0.4953051360645844,2.024334689876063,0.8967852055193574,0.9315731796742743,0.08669798083452467
Andaman & Nicobar Islands,2022,1,794748,2129030202.0751672,76288.0,2678.8745641073237,10.417732802013424,0.10163462387833966,0.06280300919476178,-0.4845477422436871,-0.45246935935187893,-0.48478827228691673,-0.49464081565874457,1.4079381855202033,1.187833501689182,-0.4814304834323183,0.047979534941893685
Andaman & Nicobar Islands,2022,2,1071217,2685920350.080266,0.0,2507.354112266951,0.0,0.2615698675680118,-1.0,-0.4837556123373443,-0.4519316041982453,-0.4839957491663992,-0.5058829796163108,1.113631689726514,-0.7612788319963298,0.12344464816221572,-4.613241996768373
Andaman & Nicobar Islands,2022,3,1584379,3310631772.1373873,0.0,2089.5453500313924,0.0,0.232587471195284,0.0,-0.48286701231089735,-0.4509334615126316,-0.4831067080379015,-0.5058829796163108,0.39672690428504764,-0.7612788319963298,0.01383321783923974,-0.22746072650092677
Andaman & Nicobar Islands,2022,4,1987535,3984674404.4287863,0.0,2004.8323196465906,0.0,0.20359939693813423,0.0,-0.4819082427418887,-0.45014928962819495,-0.48214746253460244,-0.5058829796163108,0.25137050594825816,-0.7612788319963298,-0.09579968624403873,-0.22746072650092677
Andaman & Nicobar Islands,2023,1,2276392,4461528587.0,0.0,1959.9122589606711,0.0,0.11967205702960615,0.0,-0.4812299573379676,-0.4495874387862809,-0.48146884042904536,-0.5058829796163108,0.1742936004861831,-0.7612788319963298,-0.4132129067475337,-0.22746072650092677
Andaman & Nicobar Islands,2023,2,2707775,4990344236.0,0.0,1842.9685760449076,0.0,0.11852790779843092,0.0,-0.4804777610708662,-0.448748363043829,-0.48071627077087253,-0.5058829796163108,-0.026366350877386337,-0.7612788319963298,-0.41754007942570676,-0.22746072650092677
Andaman & Nicobar Islands,2023,3,3098376,5211596791.0,0.0,1682.0414278318706,0.0,0.04433613084321908,0.0,-0.4801630477179759,-0.44798861167653486,-0.48040140119392055,-0.5058829796163108,-0.30249613342208487,-0.7612788319963298,-0.6981333984073066,-0.22746072650092677
Andaman & Nicobar Islands,2023,4,3695783,6269552499.0,0.0,1696.4070939771086,0.0,0.20300029922249596,0.0,-0.4786581937375367,-0.44682660547306613,-0.478895800202276,-0.5058829796163108,-0.27784654313951157,-0.7612788319963298,-0.09806547395426861,-0.22746072650092677
Andaman & Nicobar Islands,2024,1,4184920,6859151835.0,0.0,1639.016238064288,0.0,0.09404169374034943,0.0,-0.4778195377324368,-0.44587519340667575,-0.4780567278873937,-0.5058829796163108,-0.37632169005681365,-0.7612788319963298,-0.5101469471113087,-0.22746072650092677
Andaman & Nicobar Islands,2024,2,4653224,7295780330.0,0.0,1567.8979412983342,0.0,0.0636563390785474,0.0,-0.4771984700226023,-0.44496430325455294,-0.4774353518788507,-0.5058829796163108,-0.49835131674811206,-0.7612788319963298,-0.6250643660340958,-0.22746072650092677
Andaman & Nicobar Islands,2024,3,5279250,7663845009.0,0.0,1451.6920034095751,0.0,0.05044898041769841,0.0,-0.4766749286370188,-0.44374663072053055,-0.4769115506067357,-0.5058829796163108,-0.6977453948507543,-0.7612788319963298,-0.675014599789316,-0.22746072650092677
Andaman & Nicobar Islands,2024,4,6063900,8920944773.0,0.0,1471.156314088293,0.0,0.16402990437877207,0.0,-0.4748868088042511,-0.442220421339737,-0.47512254314927554,-0.5058829796163108,-0.6643472023470149,-0.7612788319963298,-0.24545151699007645,-0.22746072650092677
