State,Year,Quarter,Transaction_Count,Transaction_Amount,User_Count,Avg_Transaction_Value,Transactions_Per_User
Andaman & Nicobar Islands,2018,1,6658,14631761.22198579,6740.0,2197.6210907157993,0.9878338278931751
Andaman & Nicobar Islands,2018,2,11340,28338535.507953543,9405.0,2498.989021865392,1.2057416267942584
Andaman & Nicobar Islands,2018,3,16265,55557471.13431111,12149.0,3415.7682836957338,1.3387933163223311
Andaman & Nicobar Islands,2018,4,23758,90548336.07445519,15222.0,3811.277720113443,1.5607673104716857
Andaman & Nicobar Islands,2019,1,30486,102299740.67348987,18596.0,3355.6301473951935,1.6393848139384815
Andaman & Nicobar Islands,2019,2,33689,120254709.67566319,21731.0,3569.554147515901,1.5502738024020983
Andaman & Nicobar Islands,2019,3,33770,114071776.08729394,23931.0,3377.902756508556,1.4111403618737204
Andaman & Nicobar Islands,2019,4,35159,136838530.51737788,25960.0,3891.9915389339253,1.3543528505392912
Andaman & Nicobar Islands,2020,1,41298,161476312.29727465,28368.0,3910.027417726637,1.4557952622673436
Andaman & Nicobar Islands,2020,2,62962,169645001.41414705,32710.0,2694.4029956822696,1.9248547844695811
Andaman & Nicobar Islands,2020,3,117483,338019446.3303604,41335.0,2877.1775178567145,2.8422160396758196
Andaman & Nicobar Islands,2020,4,224531,627282656.3148525,52396.0,2793.746325963241,4.285269867928849
Andaman & Nicobar Islands,2021,1,244752,783706567.3897556,57758.0,3202.043568141448,4.23754285120676
Andaman & Nicobar Islands,2021,2,341414,899147016.1122961,62095.0,2633.597380635522,5.498252677349223
Andaman & Nicobar Islands,2021,3,449764,1310024395.8016036,66982.0,2912.6928695973966,6.714699471499806
Andaman & Nicobar Islands,2021,4,636123,1932610101.3236573,71780.0,3038.1075693280345,8.862120367790471
Andaman & Nicobar Islands,2022,1,794748,2129030202.0751672,76288.0,2678.8745641073237,10.417732802013424
Andaman & Nicobar Islands,2022,2,1071217,2685920350.080266,,2507.354112266951,
Andaman & Nicobar Islands,2022,3,1584379,3310631772.1373873,,2089.5453500313924,
Andaman & Nicobar Islands,2022,4,1987535,3984674404.4287863,,2004.8323196465906,
Andaman & Nicobar Islands,2023,1,2276392,4461528587.0,,1959.9122589606711,
Andaman & Nicobar Islands,2023,2,2707775,4990344236.0,,1842.9685760449076,
Andaman & Nicobar Islands,2023,3,3098376,5211596791.0,,1682.0414278318706,
Andaman & Nicobar Islands,2023,4,3695783,6269552499.0,,1696.4070939771086,
Andaman & Nicobar Islands,2024,1,4184920,6859151835.0,,1639.016238064288,
Andaman & Nicobar Islands,2024,2,4653224,7295780330.0,,1567.8979412983342,
Andaman & Nicobar Islands,2024,3,5279250,7663845009.0,,1451.6920034095751,
Andaman & Nicobar Islands,2024,4,6063900,8920944773.0,,1471.156314088293,
Andhra Pradesh,2018,1,9039585,11996276391.823305,3336450.0,1327.0826472479991,2.7093422649822414
Andhra Pradesh,2018,2,12353918,22883914272.633064,4402540.0,1852.360868238972,2.806088757853421
Andhra Pradesh,2018,3,25626061,35718044599.21493,5427617.0,1393.8172003576722,4.721420284445273
Andhra Pradesh,2018,4,30759548,51473779406.841,6857409.0,1673.4244406595637,4.48559331957595
Andhra Pradesh,2019,1,57264522,83760595917.0764,8283019.0,1462.6961509794214,6.913484322564031
Andhra Pradesh,2019,2,56409015,113634518758.22997,9389003.0,2014.4744374322077,6.007987749071972
Andhra Pradesh,2019,3,76288614,139447944254.79395,10458693.0,1827.8998259791945,7.294277975268994
Andhra Pradesh,2019,4,107218103,200948315488.79117,11757883.0,1874.2013696025863,9.118827173224975
Andhra Pradesh,2020,1,127677357,252737214289.0628,13022060.0,1979.4991079668323,9.804697336673307
Andhra Pradesh,2020,2,144917855,302583689746.5638,14319675.0,2087.966936486631,10.12019162446075
Andhra Pradesh,2020,3,204902935,467084130584.9084,15692405.0,2279.5385072688605,13.057459006442926
Andhra Pradesh,2020,4,286118552,654841546033.3309,17076565.0,2288.7070462782535,16.75504130953737
Andhra Pradesh,2021,1,289747970,672444670176.6162,18363733.0,2320.791652747787,15.77827177077776
Andhra Pradesh,2021,2,352767134,850737499108.2452,19620905.0,2411.612129117009,17.979146935373265
Andhra Pradesh,2021,3,432032550,984218035564.1165,21059898.0,2278.110840408012,20.514465454675992
Andhra Pradesh,2021,4,522254003,1156264447083.98,22489029.0,2213.98867302503,23.222612368012864
Andhra Pradesh,2022,1,582603911,1294320646554.8762,23857951.0,2221.61338452614,24.419696016644515
Andhra Pradesh,2022,2,671134030,1479853948202.9336,,2205.0050840112126,
Andhra Pradesh,2022,3,642855035,1385077409712.1436,,2154.5719241541656,
Andhra Pradesh,2022,4,690017077,1424725083041.656,,2064.767859421624,
Andhra Pradesh,2023,1,1145532464,2249051316530.0,,1963.32394516058,
