ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-03-01,14227465524962.904,-173935237360.26642,379086068681.0882,14227465524962.904,14227465524962.904,-14129275186052.312,-14129275186052.312,-14129275186052.312,-14129275186052.312,-14129275186052.312,-14129275186052.312,0.0,0.0,0.0,98190338910.5918
2018-06-01,14525206877476.105,127621854463.82999,698461779683.4384,14525206877476.105,14525206877476.105,-14113958773568.555,-14113958773568.555,-14113958773568.555,-14113958773568.555,-14113958773568.555,-14113958773568.555,0.0,0.0,0.0,411248103907.5508
2018-09-01,14822948229187.195,53275272143.5585,607688370211.1033,14822948229187.195,14822948229187.195,-14488683476157.705,-14488683476157.705,-14488683476157.705,-14488683476157.705,-14488683476157.705,-14488683476157.705,0.0,0.0,0.0,334264753029.49023
2018-12-01,15117453265079.592,555637481541.0128,1138534493826.6555,15117453265079.592,15117453265079.592,-14264200527294.924,-14264200527294.924,-14264200527294.924,-14264200527294.924,-14264200527294.924,-14264200527294.924,0.0,0.0,0.0,853252737784.668
2019-03-01,15408721984453.182,654731508283.6958,1208828764218.4216,15408721984453.182,15408721984453.182,-14487263958949.844,-14487263958949.844,-14487263958949.844,-14487263958949.844,-14487263958949.844,-14487263958949.844,0.0,0.0,0.0,921458025503.3379
2019-06-01,15706463338891.764,1173584130922.0645,1753818373866.5647,15706463338891.764,15706463338891.764,-14237701180541.932,-14237701180541.932,-14237701180541.932,-14237701180541.932,-14237701180541.932,-14237701180541.932,0.0,0.0,0.0,1468762158349.832
2019-09-01,16004204696678.826,996815440511.1099,1582836547528.3423,16004204696678.826,16004204696678.826,-14727980735299.383,-14727980735299.383,-14727980735299.383,-14727980735299.383,-14727980735299.383,-14727980735299.383,0.0,0.0,0.0,1276223961379.4434
2019-12-01,16298709732611.877,1898651138495.1167,2481376851627.56,16298709732611.877,16298709732611.877,-14098756953024.719,-14098756953024.719,-14098756953024.719,-14098756953024.719,-14098756953024.719,-14098756953024.719,0.0,0.0,0.0,2199952779587.158
2020-03-01,16593214765971.316,2529836824558.2666,3107919554156.5312,16593214765971.316,16593214765971.316,-13788272307625.525,-13788272307625.525,-13788272307625.525,-13788272307625.525,-13788272307625.525,-13788272307625.525,0.0,0.0,0.0,2804942458345.791
2020-06-01,16891393606453.41,2797405064535.7407,3370829006594.561,16891393606453.41,16891393606453.41,-13809505107658.473,-13809505107658.473,-13809505107658.473,-13809505107658.473,-13809505107658.473,-13809505107658.473,0.0,0.0,0.0,3081888498794.9375
2020-09-01,17891429786309.883,3208725498072.868,3804871439734.69,17891429786309.883,17891429786309.883,-14395842461348.021,-14395842461348.021,-14395842461348.021,-14395842461348.021,-14395842461348.021,-14395842461348.021,0.0,0.0,0.0,3495587324961.8613
2020-12-01,18880963585074.41,5283004906457.632,5859783523426.775,18880963585074.41,18880963585074.41,-13308630302643.05,-13308630302643.05,-13308630302643.05,-13308630302643.05,-13308630302643.05,-13308630302643.05,0.0,0.0,0.0,5572333282431.359
2021-03-01,20234079251684.844,6057678481626.914,6623616199626.818,20234079251684.844,20234079251684.844,-13895120994130.908,-13895120994130.908,-13895120994130.908,-13895120994130.908,-13895120994130.908,-13895120994130.908,0.0,0.0,0.0,6338958257553.936
2021-06-01,21618143727167.156,7348976534261.714,7925478393777.566,21618143727167.156,21618143727167.156,-13971284360727.867,-13971284360727.867,-13971284360727.867,-13971284360727.867,-13971284360727.867,-13971284360727.867,0.0,0.0,0.0,7646859366439.289
2021-09-01,23560522645105.438,8897858572986.14,9498534819011.893,23560522645105.438,23560522645105.438,-14378890065675.717,-14378890065675.717,-14378890065675.717,-14378890065675.717,-14378890065675.717,-14378890065675.717,0.0,0.0,0.0,9181632579429.72
2021-12-01,25482064765258.375,11195888733183.95,11772229713121.457,25482064765258.375,25482064765258.375,-14000674771481.76,-14000674771481.76,-14000674771481.76,-14000674771481.76,-14000674771481.76,-14000674771481.76,0.0,0.0,0.0,11481389993776.615
2022-03-01,27382494153603.152,12959467536441.533,13535134056557.75,27382494153603.152,27382494153603.152,-14129275185981.604,-14129275185981.604,-14129275185981.604,-14129275185981.604,-14129275185981.604,-14129275185981.604,0.0,0.0,0.0,13253218967621.549
2022-06-01,29325170875537.535,14943921848366.244,15486202193802.459,29325170875537.535,29325170875537.535,-14113958773566.53,-14113958773566.53,-14113958773566.53,-14113958773566.53,-14113958773566.53,-14113958773566.53,0.0,0.0,0.0,15211212101971.006
2022-09-01,31267847605231.12,16491223615767.578,17059904363424.742,31267847605231.12,31267847605231.12,-14488683476139.8,-14488683476139.8,-14488683476139.8,-14488683476139.8,-14488683476139.8,-14488683476139.8,0.0,0.0,0.0,16779164129091.32
2022-12-01,33189547166655.047,18649173823267.39,19197941374837.02,33189547166655.047,33189547166655.047,-14264200527294.285,-14264200527294.285,-14264200527294.285,-14264200527294.285,-14264200527294.285,-14264200527294.285,0.0,0.0,0.0,18925346639360.76
2023-03-01,35090937625756.61,20324550969459.72,20900114523958.65,35090937625756.61,35090937625756.61,-14487263958961.77,-14487263958961.77,-14487263958961.77,-14487263958961.77,-14487263958961.77,-14487263958961.77,0.0,0.0,0.0,20603673666794.84
2023-06-01,37109071605976.086,22580083085998.195,23140862048210.816,37109071605976.086,37109071605976.086,-14237701180531.797,-14237701180531.797,-14237701180531.797,-14237701180531.797,-14237701180531.797,-14237701180531.797,0.0,0.0,0.0,22871370425444.29
2023-09-01,39128380574456.414,24105350820407.566,24688288420701.547,39128380574456.414,39128380574456.414,-14727980735280.246,-14727980735280.246,-14727980735280.246,-14727980735280.246,-14727980735280.246,-14727980735280.246,0.0,0.0,0.0,24400399839176.168
2023-12-01,41125740532409.78,26728142004926.42,27317345572458.844,41125740532409.78,41125740532409.78,-14098756953028.78,-14098756953028.78,-14098756953028.78,-14098756953028.78,-14098756953028.78,-14098756953028.78,0.0,0.0,0.0,27026983579381.0
2024-03-01,43123100490363.15,29055287924880.832,29612353021857.176,43123100490363.15,43123100490363.15,-13788272307607.67,-13788272307607.67,-13788272307607.67,-13788272307607.67,-13788272307607.67,-13788272307607.67,0.0,0.0,0.0,29334828182755.477
2024-06-01,45142409458843.48,31029842544402.26,31606585162210.64,45142409458843.48,45142409458843.48,-13809505107657.217,-13809505107657.217,-13809505107657.217,-13809505107657.217,-13809505107657.217,-13809505107657.217,0.0,0.0,0.0,31332904351186.258
2024-09-01,47161718427323.805,32478126582175.613,33084170471010.54,47161718427323.805,47161718427323.805,-14395842461372.385,-14395842461372.385,-14395842461372.385,-14395842461372.385,-14395842461372.385,-14395842461372.385,0.0,0.0,0.0,32765875965951.42
2024-12-01,49159078385277.17,35556649373347.75,36123068341931.82,49159078385277.17,49159078385277.17,-13308630302634.738,-13308630302634.738,-13308630302634.738,-13308630302634.738,-13308630302634.738,-13308630302634.738,0.0,0.0,0.0,35850448082642.44
2024-12-31,49817548701085.98,149972928073141.8,150578331239310.16,49758570257984.03,49865566357936.266,100447087257868.27,100447087257868.27,100447087257868.27,100447087257868.27,100447087257868.27,100447087257868.27,0.0,0.0,0.0,150264635958954.25
2025-03-31,51792959648512.375,-7467652408393.651,-6810384639432.048,51600738776878.14,51947856361243.52,-58901700429717.734,-58901700429717.734,-58901700429717.734,-58901700429717.734,-58901700429717.734,-58901700429717.734,0.0,0.0,0.0,-7108740781205.359
